# SURF Test Unit - bill of materials
#
# Parts of the SURF Test Unit, with the evidence for each row in `source`. For the rig parts, manufacturer,
# part number, supplier, unit price and quote date are not documented in this repository.
#
# ROW TYPES: rows with source "not documented" are parts that the repository does not describe. The last
# two rows are calibration instruments, not rig parts.
# NOT INCLUDED: the hardwired emergency stop recommended in docs/safety.md (not fitted).
#
# CITATIONS: path:line refers to this tree; 270cdf5:path:line refers to a file in git history
# (git show 270cdf5:path). Plain ASCII on purpose, so the file opens cleanly in any spreadsheet.
item,qty,description,manufacturer,part_number,supplier,unit_price_eur,date_quoted,source,notes
11,2,"Heating pad bringing the phantom surface to a skin-like temperature",,,,,,"firmware/heating/SURF_nanoHeating_v4/SURF_nanoHeating_v4.ino:21-22,41-42; README.md:7-8","Pad voltage is not determinable from the repository (docs/safety.md 6.3)."
12,2,"MOSFET switching stage, one per pad; gate driven HIGH-active from the heating Nano (D5, D6)",,,,,,"firmware/heating/SURF_nanoHeating_v4/SURF_nanoHeating_v4.ino:21-22,62,150-156; 270cdf5:firmware/arduino/src/oldDrives/SURF_nanoHeating_v2.1.ino:31","Pad state during a Nano reset depends on the gate pull-down (hardware/pinout.md pitfall 6)."
13,,"Power supply for the stepper drivers",,,,,,"not documented","Output voltage is NOT determinable from the repository. Required by items 3-4."
14,,"Power supply for the heating pads",,,,,,"not documented","Whether it is shared with item 13 is not recorded."
15,2,"USB cable, PC to Arduino Nano",,,,,,"software/surf_terminal/terminal.py:30-39 (two serial ports)","Label axis/heating: swapped ports cross-command the controllers (docs/safety.md G7)."
16,1,"Measurement PC (Windows laptop) running software/surf_terminal",,,,,,"software/surf_terminal/terminal.py:30-33",
17,1,"Phantom body carried by the axes (the tracked surface)",,,,,,"blueprints/heating-off/ETD_QA_PoP_SingleCouchRotation.json:6",
18,,"Frame / base structure and the mounting of the axes on it",,,,,,"not documented","No CAD, drawing or photo exists (hardware/assembly.md)."
19,,"Mechanical parts not itemised: shaft couplings, bearings, brackets, fasteners",,,,,,"not documented","The existence and type of each is not recorded."
20,,"Wiring and connectors: motor, encoder, endstop, alarm, sensor and heater cabling",,,,,,"not documented","No wiring diagram exists (hardware/pinout.md)."
21,,"Unidentified item named VMA42",,,,,,"270cdf5:README.md:1","Named alongside the motors and heating pads in the original README title (3x NEMA23, heating pads, VMA42, MATLAB); nothing in the current firmware or software refers to it."
22,1,"Reference thermometer Testo 925 (calibration instrument, NOT part of the rig)",Testo,,,,,"hardware/calibration/heating-pad-calibration.csv:1","Exclude from rig cost."
23,1,"Dial gauge with 0.01 mm divisions (calibration instrument, NOT part of the rig)",,,,,,"docs/calibration/backlash-measurement-raw.txt:5,20","Exclude from rig cost. The notebook treats readings above 0.4 mm as unreliable because of the gauge's arc motion (line 14)."
