run_id,csv_file,etd_file,group,roi_area,heatingpads,title,used_in_analysis,note,blueprint,protocol_remark
9,ETD_QA_PoP_SingleCouchOrientation_20260310_162951.csv,TrackingResult_2026-03-10_16-31-57.json,Vertical,PhantomWithBuffer,OFF,V,true,,ETD_QA_PoP_SingleCouchRotation_OnlyV.json,
10,ETD_QA_PoP_SingleCouchOrientation_20260310_163325.csv,TrackingResult_2026-03-10_16-35-08.json,Rotation,PhantomWithBuffer,OFF,R,true,,ETD_QA_PoP_SingleCouchRotation_OnlyR.json,"Protocol: problem found on the ExacTrac side; backlash corrected but a rotation offset remained (5 deg vs 4.7 deg); the same tracking area was kept, not redrawn, for the following runs."
11,ETD_QA_PoP_SingleCouchOrientation_20260310_163613.csv,TrackingResult_2026-03-10_16-37-58.json,Rotation,PhantomWithBuffer,OFF,R,true,,ETD_QA_PoP_SingleCouchRotation_OnlyR.json,
12,ETD_QA_PoP_SingleCouchOrientation_20260310_163820.csv,TrackingResult_2026-03-10_16-40-07.json,Rotation,PhantomWithBuffer,OFF,R,true,,ETD_QA_PoP_SingleCouchRotation_OnlyR.json,
,messung_20260310_172148.csv,,,,,,false,"Terminal log of protocol run 13 (static extreme positions read out with ExacTrac X-ray); used separately by surf-etds-analysis xray_verification_v2.py for the radiographic check of the kinematics, not in the tracking evaluation; no ETD tracking export covers this interval.",,"Protocol run 13, 17:16-17:33: dwell points H +10 mm; V +/-10 mm; R +/-5, +/-30, +45, +90, +60 deg, each read out with ExacTrac X-ray; pads off; started from zero position; no blueprint named."
14,ETD_QA_PoP_SingleCouchOrientation_20260310_173645.csv,TrackingResult_2026-03-10_17-39-28.json,Variable_Geschwindigkeit,PhantomWithBuffer,OFF,,true,,ETD_QA_PoP_SingleCouchRotation_RvarySpeed.json,"Protocol: rotation speed varied 'from slow to fast' [blueprint and telemetry: speed decreases within the run, 15 to 0.5 deg/s]."
15,ETD_QA_PoP_SingleCouchOrientation_20260310_174056.csv,TrackingResult_2026-03-10_17-43-34.json,Variable_Geschwindigkeit,PhantomWithBuffer,OFF,,true,,ETD_QA_PoP_SingleCouchRotation_RvarySpeed.json,"Protocol: rotation speed varied 'from slow to fast' [blueprint and telemetry: speed decreases within the run, 15 to 0.5 deg/s]."
16,ETD_QA_PoP_SingleCouchOrientation_20260310_174558.csv,TrackingResult_2026-03-10_17-48-32.json,Variable_Geschwindigkeit,PhantomWithBuffer,OFF,,true,,ETD_QA_PoP_SingleCouchRotation_RvarySpeed.json,"Protocol: rotation speed varied 'from slow to fast' [blueprint and telemetry: speed decreases within the run, 15 to 0.5 deg/s]."
17,ETD_QA_PoP_SingleCouchOrientation_20260310_175019.csv,TrackingResult_2026-03-10_17-52-59.json,Variable_Geschwindigkeit,Fitting,OFF,,true,,ETD_QA_PoP_SingleCouchRotation_RvarySpeed.json,"Protocol: rotation speed varied 'from slow to fast' [blueprint and telemetry: speed decreases within the run, 15 to 0.5 deg/s]. ROI drawn tighter, closer to the phantom outline."
18,ETD_QA_PoP_SingleCouchOrientation_20260310_175356.csv,TrackingResult_2026-03-10_17-56-35.json,Variable_Geschwindigkeit,OnlyFrontSurface,OFF,,true,,ETD_QA_PoP_SingleCouchRotation_RvarySpeed.json,"Protocol: rotation speed varied 'from slow to fast' [blueprint and telemetry: speed decreases within the run, 15 to 0.5 deg/s]. ROI drawn even tighter: a rectangle over forehead and nose of the phantom head."
19,ETD_QA_PoP_SingleCouchOrientation_20260310_175824.csv,TrackingResult_2026-03-10_18-01-08.json,Variable_Geschwindigkeit,Fiting,OFF,,true,,ETD_QA_PoP_SingleCouchRotation_RvarySpeed.json,"Protocol: rotation speed varied 'from slow to fast' [blueprint and telemetry: speed decreases within the run, 15 to 0.5 deg/s]. ROI filled maximally but not beyond the phantom."
21,ETD_QA_PoP_SingleCouchOrientation_20260310_182011.csv,TrackingResult_2026-03-10_18-23-37.json,Vertical_Slide,,OFF,,true,,ETD_QA_PoP_SingleCouchRotation_VerticalSlide.json,Protocol: started at V = +50 mm (tilt needed); generator synchronisation checked; tracking lost several times.
22,ETD_QA_PoP_SingleCouchOrientation_20260310_182433.csv,TrackingResult_2026-03-10_18-26-30.json,Vertical_Slide,,OFF,,true,,ETD_QA_PoP_SingleCouchRotation_VerticalSlide.json,"Protocol: tracking again lost several times, but less often."
,ETD_QA_PoP_SingleCouchOrientation_20260310_183437.csv,,,,,,false,"Protocol run 23 (warm-up experiment: one motion sequence cold, then warm), sequence 1 (cold); a separate experiment outside the six evaluated groups.",,"Protocol run 23, sequence 1 (cold), 18:34-18:35, 23.0-23.2 degC; ETD dataset 184321. [The protocol names blueprint ETD_QA_BasicPoP.json for run 23, but this file's logging prefix and dwell sequence match runs 1-3 (ETD_QA_PoP_SingleCouchRotation.json).]"
,ETD_QA_PoP_SingleCouchOrientation_20260310_184205.csv,,,,,,false,"Protocol run 23 (warm-up experiment), sequence 2 (warm, after heating both pads to 32 degC); a separate experiment outside the six evaluated groups.",,"Protocol run 23, sequence 2 (warm), 18:42-18:43; pads read 31.5 degC (lower) and 32.8 degC (upper); ExacTrac tracking was lost during heating; ETD dataset 184321, the same number as for sequence 1. [The protocol names blueprint ETD_QA_BasicPoP.json for run 23, but this file's logging prefix and dwell sequence match runs 1-3 (ETD_QA_PoP_SingleCouchRotation.json).]"
,ETD_QA_PoP_SingleCouchOrientation_20260310_184348.csv,,,,,,false,"Protocol run 23 (warm-up experiment), repeat recorded with a control ExacTrac acquisition after sequence 2; a separate experiment outside the six evaluated groups.",,"Protocol run 23, control ExacTrac 18:43-18:45; ETD dataset 184456. [The protocol names blueprint ETD_QA_BasicPoP.json for run 23, but this file's logging prefix and dwell sequence match runs 1-3 (ETD_QA_PoP_SingleCouchRotation.json).]"
24,ETD_QA_PoP_SingleCouchOrientation_20260310_190114.csv,TrackingResult_2026-03-10_19-03-12.json,Horizontal,PhantomWithBuffer,32,H,true,,ETD_QA_PoP_SingleCouchRotation_OnlyH.json,
25,ETD_QA_PoP_SingleCouchOrientation_20260310_190405.csv,TrackingResult_2026-03-10_19-06-09.json,Horizontal,PhantomWithBuffer,32,H,true,,ETD_QA_PoP_SingleCouchRotation_OnlyH.json,
26,ETD_QA_PoP_SingleCouchOrientation_20260310_190639.csv,TrackingResult_2026-03-10_19-08-31.json,Horizontal,PhantomWithBuffer,32,H,true,,ETD_QA_PoP_SingleCouchRotation_OnlyH.json,
27,ETD_QA_PoP_SingleCouchOrientation_20260310_191006.csv,TrackingResult_2026-03-10_19-12-12.json,Vertical,PhantomWithBuffer,32,V,true,,ETD_QA_PoP_SingleCouchRotation_OnlyV.json,
28,ETD_QA_PoP_SingleCouchOrientation_20260310_191235.csv,TrackingResult_2026-03-10_19-14-21.json,Vertical,PhantomWithBuffer,32,V,true,,ETD_QA_PoP_SingleCouchRotation_OnlyV.json,
29,ETD_QA_PoP_SingleCouchOrientation_20260310_191507.csv,TrackingResult_2026-03-10_19-16-51.json,Vertical,PhantomWithBuffer,32,V,true,,ETD_QA_PoP_SingleCouchRotation_OnlyV.json,
30,ETD_QA_PoP_SingleCouchOrientation_20260310_191806.csv,TrackingResult_2026-03-10_19-20-07.json,Rotation,PhantomWithBuffer,32,R,true,,ETD_QA_PoP_SingleCouchRotation_OnlyR.json,
31,ETD_QA_PoP_SingleCouchOrientation_20260310_192031.csv,TrackingResult_2026-03-10_19-22-24.json,Rotation,PhantomWithBuffer,32,R,true,,ETD_QA_PoP_SingleCouchRotation_OnlyR.json,
32,ETD_QA_PoP_SingleCouchOrientation_20260310_192250.csv,TrackingResult_2026-03-10_19-24-41.json,Rotation,PhantomWithBuffer,32,R,true,,ETD_QA_PoP_SingleCouchRotation_OnlyR.json,
33,ETD_QA_PoP_SingleCouchOrientation_20260310_192615.csv,TrackingResult_2026-03-10_19-28-53.json,Variable_Geschwindigkeit,PhantomWithBuffer,32,,true,,ETD_QA_PoP_SingleCouchRotation_RvarySpeed.json,"Protocol: recorded once, no repeats; +/-5 deg rotation at different speeds."
34,ETD_QA_PoP_SingleCouchOrientation_20260310_193140.csv,TrackingResult_2026-03-10_19-35-28.json,Vertical_Slide,,32,,true,"Contains an extra segment before the vertical-slide sequence: one H sync pulse and four R +/-5 deg cycles at V = +50 mm (three H sync pulses in the file). surf-etds-analysis selects the sync-pulse pair by span match (DataConverter.py, SYNC_PAIR_MAX_DEVIATION).",ETD_QA_PoP_SingleCouchRotation_VerticalSlide.json,Protocol: started at V = +50 mm; tracking lost during the nodding motion.
35,ETD_QA_PoP_SingleCouchOrientation_20260310_193557.csv,TrackingResult_2026-03-10_19-38-01.json,Vertical_Slide,,32,,true,,ETD_QA_PoP_SingleCouchRotation_VerticalSlide.json,Protocol: started at V = +50 mm; tracking lost during the nodding motion.
